gender,hedge_first,hedge_comfy,apology_first,apology_comfy,tag_questions,rising_intonation,empty_adjectives,precise_colours,intensifires,hypercorrect_grammar,superpolite_forms,avoid_slangs,emphatic_stress,hedges,none_of_them
Male,4,2,5,1,0,0,0,0,0,0,0,0,0,1,0
Male,3,5,2,1,1,1,1,0,0,0,0,0,0,1,0
Female,4,3,4,3,1,0,0,0,1,0,0,0,1,1,0
Male,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Male,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Male,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Male,4,1,5,2,0,0,0,0,0,0,0,0,0,1,0
Male,4,5,2,4,0,0,0,0,1,0,0,0,0,1,0
Male,2,3,4,2,0,1,0,0,0,0,0,0,0,1,0
Male,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Female,2,4,5,2,1,0,1,0,0,0,0,0,1,0,0
Male,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Male,5,5,5,5,0,0,1,0,1,0,0,0,1,1,0
Male,3,3,4,2,0,1,0,1,1,0,0,0,1,1,0
Male,4,4,2,4,1,0,0,0,1,0,0,0,0,0,0
Male,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Male,3,4,4,2,0,1,1,0,0,0,0,0,0,1,0
Male,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Male,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Male,5,5,4,1,1,1,0,0,1,0,0,0,1,1,0
Female,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0
Male,3,4,5,4,0,1,1,0,1,0,0,0,1,1,0
Male,3,3,4,1,0,0,0,0,0,0,0,0,0,1,0
Male,4,2,5,1,0,0,0,0,0,0,0,0,0,1,0
Male,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Male,2,3,4,2,0,0,0,0,1,0,0,0,0,0,0
Male,3,4,3,2,0,1,0,1,1,0,0,0,0,1,0
Male,3,2,4,1,0,0,1,0,0,0,0,0,1,0,0
Male,4,2,3,5,0,1,0,0,0,0,0,0,0,1,0
Male,4,1,5,1,0,0,1,0,0,0,0,0,1,1,0
Male,2,4,5,4,1,1,0,0,0,0,0,0,0,1,0
Female,5,5,5,4,1,1,1,1,1,0,0,0,0,1,0
Male,3,3,2,2,0,0,1,0,1,0,0,0,0,1,0
Female,4,3,5,4,1,0,0,1,1,0,0,0,0,1,0
Male,4,2,4,2,0,0,0,1,0,0,0,0,0,0,0
Female,2,2,2,4,0,1,1,0,1,0,0,0,0,0,0
Male,2,4,4,4,1,0,0,0,0,0,0,1,1,1,0
Female,3,4,2,3,0,1,1,0,0,0,0,0,0,1,0
Female,2,5,4,4,0,1,0,0,1,0,0,0,1,1,0
Male,3,4,4,3,1,1,0,0,1,0,0,0,0,1,0
Male,4,4,4,2,0,1,0,0,0,0,0,0,0,1,0
Male,4,2,4,2,0,1,0,0,0,0,0,0,0,1,0
Male,4,5,4,2,1,1,0,0,1,0,0,0,1,1,0
Female,5,5,5,3,1,1,1,0,1,0,0,0,0,1,0
Male,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0
Male,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
Female,1,1,5,5,0,1,0,0,0,0,0,0,1,0,0
Male,3,5,4,3,1,0,0,1,1,0,0,1,1,1,0
Male,3,4,5,2,0,0,0,0,1,0,0,0,0,1,0
Male,3,2,1,1,1,1,0,0,1,0,0,0,0,0,0
Male,4,4,4,2,0,0,0,0,0,0,0,0,0,1,0
Male,4,4,5,2,1,1,1,0,1,0,0,0,1,1,0
Male,5,5,5,5,0,1,0,1,0,0,0,0,0,0,0
Male,4,4,3,3,1,1,0,0,0,0,0,1,0,1,0
Male,3,4,4,4,1,1,1,0,1,0,0,1,1,0,0
Male,3,4,4,4,1,1,1,0,1,0,0,1,1,0,0
Female,5,5,4,2,1,0,0,1,1,0,0,0,0,1,0
Male,4,3,5,2,1,1,0,0,1,0,0,0,0,0,0
Male,5,4,4,2,1,1,1,0,1,0,0,0,1,1,0
Female,3,2,5,1,1,1,1,0,1,0,0,0,1,0,0
Male,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Male,4,4,3,1,0,1,0,0,0,0,0,0,1,1,0
Male,2,4,4,3,0,0,0,0,1,0,0,0,0,0,0
Male,3,1,4,1,0,1,1,0,0,0,0,0,0,0,0
Male,5,3,4,1,0,0,1,0,1,0,0,0,0,1,0
Male,4,5,2,5,1,0,1,0,1,0,0,0,1,1,0
Male,2,3,4,4,1,1,0,0,1,0,0,1,0,1,0
Male,2,1,2,1,0,0,0,1,1,0,0,0,0,1,0
Female,1,3,2,4,0,1,0,0,0,0,0,0,0,0,0
Female,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0
Male,3,3,3,2,1,0,0,0,1,0,0,0,0,1,0
Male,3,5,5,5,0,1,0,1,1,0,0,0,0,0,0
Male,4,5,3,4,1,1,0,0,0,0,0,0,0,0,0
Female,3,5,4,5,0,0,1,0,0,0,0,0,0,1,0
Male,4,4,5,1,0,0,1,0,1,0,0,0,0,1,0
Female,4,5,3,3,0,0,1,0,1,0,0,0,0,1,0
Male,4,4,3,1,0,1,0,0,0,0,0,1,1,1,0
Male,4,1,4,4,1,0,1,0,1,0,0,1,1,0,0
Male,4,5,2,4,1,1,1,0,0,0,0,1,1,1,0
Male,4,5,5,3,0,1,1,0,1,0,0,0,1,1,0
Male,4,4,2,2,0,1,1,0,1,0,0,0,0,1,0
Male,1,5,5,4,0,0,0,0,1,0,0,0,0,1,0
Male,2,4,5,2,1,1,1,0,1,0,0,0,1,1,0
Male,3,4,4,2,0,1,1,1,0,0,0,0,0,1,0
Female,4,4,3,2,0,1,1,1,1,0,0,0,0,1,0
Female,5,2,5,1,1,0,1,0,0,0,0,0,0,1,0
Female,4,5,2,4,1,0,0,1,1,0,0,0,0,1,0
Male,5,2,5,2,0,0,1,0,0,0,0,0,0,1,0
Female,3,3,4,2,1,1,1,1,1,0,0,0,0,1,0
Male,2,4,4,2,1,0,1,1,1,0,0,0,0,1,0
Non-binary,5,5,5,5,1,1,1,1,1,0,0,0,0,1,0
Male,4,4,3,1,0,1,1,0,0,0,0,0,0,0,0
Male,4,5,4,3,1,1,0,0,0,0,0,0,0,1,0
Male,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0
Male,2,4,1,1,0,0,0,0,1,0,0,0,1,1,0
Male,5,5,2,2,0,0,1,0,1,0,0,0,0,1,0
Male,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0
Male,5,5,5,5,1,0,1,0,1,0,0,0,0,1,0
Male,4,5,5,4,0,1,0,0,1,0,0,1,1,0,0
Male,3,2,1,4,0,1,0,1,1,0,0,1,0,0,0
Female,2,3,5,1,1,1,1,0,1,0,0,0,0,0,0
Female,2,4,4,4,1,0,1,0,0,0,0,0,0,1,0
Male,4,5,5,5,1,1,0,0,0,0,0,0,0,1,0
Male,2,4,2,1,0,1,1,0,1,0,0,0,0,1,0
Male,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Female,3,3,5,5,1,1,1,0,1,0,0,0,0,1,0
Male,3,5,5,2,0,1,0,0,1,0,0,0,0,1,0
Male,4,4,2,3,0,1,0,0,1,0,0,0,0,1,0
Male,3,3,4,4,0,1,0,0,1,0,0,0,0,1,0
Female,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0
Male,3,4,4,4,0,1,0,0,0,0,0,0,1,1,0
Male,5,5,3,1,1,0,1,0,0,0,1,1,1,0,0
Male,2,2,5,2,1,1,0,0,0,1,0,0,0,0,0
Female,4,5,5,4,0,1,0,0,0,0,0,1,0,0,0
Male,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Male,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0
Male,4,4,5,2,0,1,1,0,1,0,0,0,1,0,0
Female,5,1,2,1,1,1,0,0,1,1,0,0,1,0,0
Female,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0
Female,5,3,4,3,0,1,0,1,0,0,0,0,1,0,0
Non-binary,2,4,1,1,0,1,1,0,0,1,0,0,1,0,0
Male,4,4,3,4,0,1,1,0,0,0,0,0,1,0,0
Female,4,4,5,3,1,1,1,1,0,1,0,0,1,0,0
Female,4,5,4,2,0,1,1,0,1,0,0,0,1,0,0
Female,4,5,2,5,1,0,1,1,1,1,0,0,1,0,0
Female,4,1,5,1,0,0,1,1,1,1,0,0,0,0,0
Female,5,5,5,2,0,1,1,1,1,0,0,1,1,0,0
Female,4,2,4,3,0,1,1,1,1,0,1,0,1,0,0
Female,2,4,5,4,1,0,1,0,1,0,0,1,1,0,0
Female,2,2,4,5,1,0,1,1,1,1,0,0,0,0,0
Female,2,2,4,1,1,1,1,0,0,1,0,0,1,0,0
Male,4,1,4,1,0,0,1,0,0,0,0,0,1,0,0
Female,3,3,2,1,1,1,0,0,1,0,0,0,0,0,0
Female,4,2,2,3,1,1,0,0,0,1,0,1,1,0,0
Female,4,3,2,3,1,1,0,0,1,0,0,0,1,0,0
Non-binary,3,5,2,4,1,1,1,0,0,1,0,1,1,0,0
Male,2,5,5,3,1,1,0,1,0,0,1,1,1,0,0
Female,5,1,4,2,0,0,1,0,1,1,1,1,1,0,0
Male,4,5,3,4,0,1,1,0,1,0,0,0,0,0,0
Male,5,5,2,1,0,1,0,0,1,0,0,0,0,0,0
Male,5,3,4,1,0,1,1,0,1,1,0,0,1,0,0
Female,4,3,3,1,0,0,1,0,1,0,0,0,1,0,0
Female,3,5,4,2,1,1,0,0,1,0,0,1,1,0,0
Male,2,4,4,4,0,0,0,0,1,0,1,0,1,0,0
Female,2,4,4,1,1,0,1,0,1,0,0,0,1,0,0
Male,3,5,3,3,1,0,0,0,1,0,0,0,1,0,0
Male,5,3,4,4,1,1,1,0,1,1,1,1,1,0,0
Male,5,3,1,1,1,0,1,0,1,1,0,1,0,0,0
Female,1,2,3,4,1,1,0,0,1,0,0,1,1,0,0
Male,3,2,5,5,0,0,0,0,1,0,0,0,1,0,0
Female,3,5,4,5,1,0,1,1,1,0,1,0,1,0,0
Female,4,4,3,3,1,0,1,0,1,1,1,0,1,0,0
Male,4,4,1,1,1,0,1,1,1,1,0,1,1,0,0
Male,3,3,5,4,0,0,0,0,1,1,0,0,1,0,0
Female,3,4,4,4,1,0,1,1,1,1,0,0,1,0,0
Male,3,4,5,1,0,1,0,0,1,1,0,1,1,0,0
Male,1,2,1,1,1,0,1,0,0,0,0,1,1,0,0
Female,4,4,4,2,0,1,0,0,1,0,1,0,1,0,0
Female,1,3,3,4,1,0,0,0,1,0,0,1,1,0,0
Male,4,4,4,3,0,1,0,0,1,1,0,0,1,0,0
Male,1,4,4,3,1,0,1,1,0,0,1,0,1,0,0
Male,5,5,3,1,1,0,1,0,1,0,0,0,1,0,0
Female,4,3,3,5,0,1,1,0,1,1,0,0,1,0,0
Female,2,5,4,1,1,1,1,0,1,0,0,0,1,0,0
Female,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0
Female,3,4,5,3,1,0,1,0,1,1,1,1,1,0,0
Female,3,2,4,1,0,1,0,1,0,0,0,1,1,0,0
Female,5,5,5,2,0,1,1,1,1,0,0,1,1,0,0
Male,4,2,4,1,0,0,1,0,1,0,1,1,1,0,0
Female,1,3,1,3,1,0,0,0,1,1,0,0,1,0,0
Female,4,4,4,2,1,1,1,0,1,0,1,1,1,0,0
Female,5,4,1,3,1,1,0,0,1,1,1,1,1,0,0
Female,4,1,5,2,0,1,0,0,0,0,0,0,0,0,0
Female,3,1,5,4,1,1,1,0,1,0,0,0,1,0,0
Male,2,4,2,4,0,1,0,1,0,0,0,0,1,0,0
Female,5,1,2,1,1,1,0,0,1,1,0,0,1,0,0
Female,4,2,2,2,0,1,0,0,1,1,1,0,1,0,0
Female,2,4,5,3,1,1,1,1,1,1,0,0,1,0,0
Male,2,5,5,3,0,1,1,0,1,0,0,0,1,0,0
Male,4,1,5,1,0,1,0,0,1,1,0,1,1,0,0
Female,3,5,1,3,0,1,1,1,1,1,0,0,1,0,0
Female,4,4,5,4,1,0,1,0,1,1,0,1,1,0,0
Male,2,3,3,3,0,1,0,0,1,0,1,1,0,0,0
Female,4,1,4,4,1,0,1,0,1,0,1,0,1,0,0
Female,5,4,4,2,1,1,1,0,1,0,0,0,1,0,0
Male,3,1,1,1,1,0,1,0,1,0,1,0,1,0,0
Male,5,5,5,2,0,1,1,0,1,0,0,0,1,0,0
Female,4,3,5,2,1,1,1,0,1,1,1,0,1,0,0
Female,4,3,3,3,0,0,0,0,0,0,0,0,0,0,1
Female,1,3,5,5,0,0,1,0,1,0,1,0,1,0,0
Female,2,3,4,5,0,0,1,1,1,0,0,0,1,0,0
Male,5,5,5,1,0,1,0,1,1,1,0,0,1,0,0
Female,2,3,5,4,0,0,1,1,1,1,0,1,0,0,0
Female,5,5,5,2,1,1,1,1,1,1,1,0,1,0,0
Female,3,4,5,5,0,0,0,0,1,1,0,1,0,0,0
Female,3,3,2,1,1,1,1,0,1,1,1,1,1,0,0
Female,5,5,3,3,0,1,0,0,0,0,0,0,0,0,0
Female,4,4,5,4,1,0,1,0,1,1,0,0,1,0,0
Male,4,2,5,1,0,1,1,1,1,1,1,1,0,0,0
Female,2,3,4,4,0,0,0,0,1,0,0,0,1,0,0
Male,4,5,3,1,1,0,1,0,0,0,0,0,1,0,0
Male,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0
Female,5,5,3,3,1,1,0,0,1,0,0,1,1,0,0
Male,4,4,3,2,0,0,0,0,1,0,0,1,1,0,0
Male,2,3,2,3,0,0,1,0,0,1,1,0,0,0,0
Male,4,4,4,2,1,0,0,0,1,0,0,0,0,0,0
Female,3,4,5,4,1,1,0,0,1,1,0,0,1,0,0
Female,5,4,5,4,0,1,0,1,1,1,1,1,0,0,0
Female,4,2,3,2,1,0,0,0,0,0,1,0,1,0,0
Female,5,2,5,4,1,0,1,0,1,0,0,0,1,0,0
Female,4,5,5,5,0,0,0,0,0,0,0,0,1,0,0
Female,2,2,2,3,0,0,0,0,0,1,1,1,1,0,0
Female,2,5,4,3,0,1,1,0,1,1,0,0,1,0,0
Female,2,1,4,4,0,0,0,0,1,0,0,0,0,0,0
Female,4,3,4,1,0,1,0,1,0,0,0,0,0,0,0
Female,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Female,4,2,5,1,0,0,0,0,1,1,0,1,1,0,0
Female,1,3,3,3,1,1,1,0,1,1,0,1,1,0,0
Female,5,5,5,3,1,1,1,0,1,0,0,0,1,0,0
Male,4,3,5,3,1,1,1,0,0,1,1,1,1,0,0
Female,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0
